fecha,precio_actual,real,pred_ensemble,pred_std,pred_nlin,pred_dlin,baseline_naive,err_ensemble,err_nlin,err_dlin,err_naive
2025-03-25,234.97,251.13,236.7411218057573,7.85216539859772,241.3333580994606,244.9588188648224,234.97,14.388878194242693,9.796641900539385,6.171181135177591,16.159999999999997
2025-03-26,239.11,251.03,240.71049206137658,8.192835153341292,246.709391579628,247.78290611267093,239.11,10.319507938623417,4.320608420371997,3.247093887329072,11.919999999999987
2025-03-27,239.01,248.12,240.58256294712425,7.949634000062929,246.73902149796487,247.21393846511842,239.01,7.5374370528757595,1.3809785020351342,0.9060615348815872,9.110000000000014
2025-03-28,241.63,242.85,243.31746546804905,8.266847089529023,243.6862641197443,245.472410197258,241.63,-0.4674654680490562,-0.8362641197442997,-2.622410197258006,1.2199999999999989
2025-03-31,248.06,245.3,249.22420372888448,7.765272707939147,251.48521130770447,247.62435665607455,248.06,-3.9242037288844642,-6.1852113077044635,-2.324356656074542,-2.759999999999991
2025-04-01,251.13,243.66,252.7132153479755,8.2886294257641,258.97597266316416,246.94886314868927,251.13,-9.05321534797551,-15.31597266316416,-3.2888631486892734,-7.469999999999999
2025-04-02,251.03,245.82,252.71705840155482,8.169325240850412,247.9486997655034,245.25522983551025,251.03,-6.89705840155483,-2.1286997655033986,0.5647701644897438,-5.210000000000008
2025-04-03,248.12,228.69,249.64373831629754,8.240343500375758,249.89098562389614,243.03664405584337,248.12,-20.953738316297546,-21.200985623896145,-14.34664405584337,-19.430000000000007
2025-04-04,242.85,210.28,244.33772323235868,7.753278561830513,245.92192386507986,239.9876123714447,242.85,-34.05772323235868,-35.64192386507986,-29.707612371444696,-32.56999999999999
2025-04-07,245.3,214.44,246.82176278129222,7.940922586917878,239.30725095748903,241.0011580705643,245.3,-32.381762781292224,-24.867250957489034,-26.56115807056429,-30.860000000000014
2025-04-08,243.66,216.87,244.9581139202416,8.029288450479498,249.01539849281312,240.25026144504548,243.66,-28.088113920241597,-32.145398492813115,-23.380261445045477,-26.789999999999992
2025-04-09,245.82,234.34,247.3971316425502,7.844800379276279,247.71291434705253,241.0772723960876,245.82,-13.057131642550189,-13.372914347052529,-6.737272396087604,-11.47999999999999
2025-04-10,228.69,227.11,230.0778624153137,8.101692827939985,216.36336645841595,232.36730326652525,228.69,-2.9678624153136752,10.74663354158406,-5.257303266525241,-1.579999999999984
2025-04-11,210.28,236.2,211.95187280341983,8.232854237556438,199.77541341304777,222.4182246160507,210.28,24.248127196580157,36.424586586952216,13.781775383949281,25.919999999999987
2025-04-14,214.44,234.72,216.11179599642753,8.161863869428657,207.56312408447266,224.21616808891298,214.44,18.608204003572467,27.156875915527337,10.503831911087019,20.28
2025-04-15,216.87,233.13,218.42466649532318,8.148040723800676,210.437775927186,228.15220551013945,216.87,14.705333504676815,22.692224072813985,4.977794489860543,16.25999999999999
2025-04-16,234.34,229.61,235.9814442396164,8.307227916717522,230.6086541926861,234.9736418390274,234.34,-6.37144423961638,-0.9986541926860752,-5.3636418390273946,-4.72999999999999
2025-04-17,227.11,231.96,228.4615772919357,8.329507226943974,220.28156129956247,235.53211680889132,227.11,3.498422708064311,11.678438700437539,-3.572116808891309,4.849999999999994
2025-04-21,236.2,228.99,237.11872773632408,8.023449006080625,235.39196223273873,241.50835838317872,236.2,-8.128727736324066,-6.401962232738725,-12.518358383178708,-7.2099999999999795
2025-04-22,234.72,235.59,235.89779148802162,8.20376350998879,243.35787789821626,244.5351856184006,234.72,-0.30779148802162126,-7.7678778982162555,-8.945185618400586,0.8700000000000045
2025-04-23,233.13,240.88,234.63326011419298,7.9759330523014,248.83306976795197,245.17226130485534,233.13,6.246739885807017,-7.953069767951973,-4.292261304855344,7.75
2025-04-24,229.61,244.64,230.86426293835044,8.153521806001663,237.60694964289667,235.82249606609346,229.61,13.77573706164955,7.0330503571033205,8.817503933906522,15.029999999999973
2025-04-25,231.96,243.55,233.2090186160803,7.734569350481024,233.50220231577757,236.14685712337496,231.96,10.340981383919711,10.047797684222445,7.403142876625054,11.590000000000003
2025-04-28,228.99,243.22,230.14540631726385,7.889106286764132,231.76999728560446,227.13120908737181,228.99,13.07459368273615,11.450002714395538,16.088790912628184,14.22999999999999
2025-04-29,235.59,244.62,236.6079045802355,7.809003883600241,238.59863025486473,230.87471076965335,235.59,8.012095419764506,6.021369745135274,13.745289230346657,9.030000000000001
2025-04-30,240.88,244.62,241.88790931761264,8.14458134531975,241.19754451110958,230.90224979400634,240.88,2.7320906823873656,3.422455488890421,13.717750205993667,3.740000000000009
2025-05-01,244.64,246.89,245.75078504681588,7.9104770135879505,247.82907787680625,236.63502355098723,244.64,1.1392149531841085,-0.939077876806266,10.254976449012759,2.25
2025-05-02,243.55,252.51,244.8059932614863,8.003996024131766,248.2575971210003,237.49047726154328,243.55,7.704006738513698,4.252402878999703,15.019522738456715,8.95999999999998
2025-05-05,243.22,252.56,244.33531792715192,7.474659559726717,244.26980726778507,241.22616063117982,243.22,8.224682072848083,8.290192732214933,11.333839368820179,9.340000000000003
2025-05-06,244.62,249.25,245.77743224695325,7.628052103519451,249.26067044496537,241.84277072429657,244.62,3.4725677530467465,-0.010670444965370507,7.407229275703429,4.6299999999999955
2025-05-07,244.62,249.39,245.83183843240144,7.986397397518147,244.3893553636968,242.18055076122286,244.62,3.558161567598546,5.0006446363031785,7.209449238777125,4.769999999999982
2025-05-08,246.89,253.47,248.00125846102833,7.914295599460587,247.04286186769602,241.16223613739012,246.89,5.4687415389716705,6.4271381323039805,12.307763862609875,6.5800000000000125
2025-05-09,252.51,253.08,253.29281617872414,7.796504311561591,259.92538357853886,244.09177615404127,252.51,-0.2128161787241254,-6.8453835785388435,8.988223845958743,0.5700000000000216
2025-05-12,252.56,260.05,253.81411735370756,7.617643541097607,254.00355023160577,244.7188964986801,252.56,6.235882646292453,6.04644976839424,15.331103501319916,7.490000000000009
2025-05-13,249.25,263.01,250.07522842936217,7.833521267175655,250.6920973433554,244.13319635391233,249.25,12.934771570637821,12.317902656644577,18.876803646087666,13.759999999999991
2025-05-14,249.39,265.64,250.5363536570966,8.114480611085895,249.11931546658275,245.57720877647398,249.39,15.103646342903374,16.52068453341724,20.062791223526006,16.25
2025-05-15,253.47,267.49,254.48106389805673,7.945108832120866,253.3897466240823,249.25167799949645,253.47,13.008936101943277,14.100253375917703,18.23832200050356,14.02000000000001
2025-05-16,253.08,267.56,254.41522511497143,8.584670408964172,261.7694161295891,249.12743061542514,253.08,13.144774885028568,5.790583870410899,18.43256938457486,14.47999999999999
2025-05-19,260.05,264.88,260.581115122065,8.726152480840653,262.03728024184704,252.40831830024723,260.05,4.298884877934995,2.8427197581529526,12.471681699752764,4.829999999999984
2025-05-20,263.01,265.68,264.26146418452265,8.636403880119303,259.268968693614,254.91739047050478,263.01,1.4185358154773553,6.411031306386008,10.762609529495222,2.670000000000016
