fecha,precio_actual,real,pred_transformer,pred_std,baseline_naive,err_transformer,err_naive
2024-10-18,222.29,225.37,220.5870854842197,11.038732037469742,222.29,4.7829145157803055,3.0800000000000125
2024-10-21,221.48,223.0,222.01463986455227,9.57216922122987,221.48,0.9853601354477348,1.5200000000000102
2024-10-22,222.39,224.12,221.45251395354512,10.257164343819028,222.39,2.667486046454883,1.7300000000000182
2024-10-23,223.64,223.41,225.24489228458143,11.448068463280805,223.64,-1.8348922845814286,-0.22999999999998977
2024-10-24,224.42,224.98,225.79583078896624,10.655610405765486,224.42,-0.8158307889662524,0.5600000000000023
2024-10-25,225.37,222.31,227.8554914057534,9.62901560273022,225.37,-5.54549140575341,-3.0600000000000023
2024-10-28,223.0,225.5,224.51494538325815,10.380541553050278,223.0,0.9850546167418486,2.5
2024-10-29,224.12,222.9,223.33815545708873,9.048855346292271,224.12,-0.43815545708872605,-1.2199999999999989
2024-10-30,223.41,224.41,225.80174890266733,10.79050876654685,223.41,-1.3917489026673309,1.0
2024-10-31,224.98,221.92,225.6875807283679,10.499382336847475,224.98,-3.7675807283679035,-3.0600000000000023
2024-11-01,222.31,222.94,223.26734850149137,9.99783319603651,222.31,-0.32734850149137174,0.6299999999999955
2024-11-04,225.5,219.78,227.11220903788694,10.99337801903485,225.5,-7.3322090378869405,-5.719999999999999
2024-11-05,222.9,221.49,224.45088300824165,8.4713359535113,222.9,-2.9608830082416375,-1.4099999999999966
2024-11-06,224.41,247.06,224.48124690223426,2.217729567233448,224.41,22.57875309776574,22.650000000000006
2024-11-07,221.92,236.38,222.3790849416074,2.0695232679322544,221.92,14.000915058392593,14.460000000000008
2024-11-08,222.94,236.98,222.8889692088644,2.253012346066555,222.94,14.09103079113558,14.039999999999992
2024-11-11,219.78,239.29,220.35515285446075,1.9306556397769725,219.78,18.934847145539237,19.50999999999999
2024-11-12,221.49,239.56,221.36703909020872,1.917391235567635,221.49,18.19296090979128,18.069999999999993
2024-11-13,247.06,241.16,247.04047431672544,2.287469221064839,247.06,-5.88047431672544,-5.900000000000006
2024-11-14,236.38,241.87,236.61220255000052,1.7796122331358504,236.38,5.257797449999487,5.490000000000009
2024-11-15,236.98,245.31,237.0840404072305,1.9204234572686403,236.98,8.225959592769499,8.330000000000013
2024-11-18,239.29,245.03,239.09919776662602,2.4561567471176318,239.29,5.930802233373981,5.740000000000009
2024-11-19,239.56,243.09,239.11552133552496,2.035882661491655,239.56,3.9744786644750434,3.530000000000001
2024-11-20,241.16,240.78,240.8333144848887,2.5376469425391406,241.16,-0.05331448488868773,-0.37999999999999545
2024-11-21,241.87,244.76,241.9461333226075,2.4380453167669316,241.87,2.8138666773924967,2.8899999999999864
2024-11-22,245.31,248.55,245.2210252718843,2.244889968065536,245.31,3.3289747281157247,3.240000000000009
2024-11-25,245.03,250.29,245.18097946252615,2.2479228321183484,245.03,5.109020537473839,5.259999999999991
2024-11-26,243.09,249.97,243.5480845991103,1.961266433335851,243.09,6.421915400889702,6.8799999999999955
2024-11-27,240.78,249.79,240.90696918506177,2.284958589030424,240.78,8.883030814938223,9.009999999999991
2024-11-29,244.76,249.72,244.7429845635997,2.4202828440349435,244.76,4.977015436400308,4.960000000000008
2024-12-02,248.55,246.25,247.8587674696185,2.689448806075376,248.55,-1.608767469618499,-2.3000000000000114
2024-12-03,250.29,244.82,250.70269766651325,2.1306915398500905,250.29,-5.882697666513252,-5.469999999999999
2024-12-04,249.97,243.4,249.51590609177947,2.599484866214908,249.97,-6.115906091779465,-6.569999999999993
2024-12-05,249.79,245.48,251.1133763890713,6.757761006429774,249.79,-5.633376389071316,-4.310000000000002
2024-12-06,249.72,247.36,253.2687883652374,4.859238411672436,249.72,-5.908788365237399,-2.359999999999985
2024-12-09,246.25,243.81,246.58959184664533,5.8120477674901565,246.25,-2.7795918466453315,-2.4399999999999977
2024-12-10,244.82,242.86,246.49293407468124,7.173275990858627,244.82,-3.6329340746812306,-1.9599999999999795
2024-12-11,243.4,243.53,245.0078325197287,5.149029762782163,243.4,-1.4778325197287074,0.12999999999999545
2024-12-12,245.48,241.53,247.96585217593235,5.8887980187311655,245.48,-6.435852175932354,-3.9499999999999886
2024-12-13,247.36,239.94,248.43690948193895,6.289767745211719,247.36,-8.496909481938957,-7.420000000000016
2024-12-16,243.81,239.58,245.57388611080125,5.37312187906349,243.81,-5.993886110801242,-4.22999999999999
2024-12-17,242.86,238.36,243.3622626897693,6.11119848422706,242.86,-5.002262689769282,-4.5
2024-12-18,243.53,230.37,245.23919638173655,5.4751436664908795,243.53,-14.869196381736543,-13.159999999999997
2024-12-19,241.53,232.96,242.95072648356665,6.188323800712851,241.53,-9.990726483566647,-8.569999999999993
2024-12-20,239.94,237.6,241.69127605726945,6.423470239564779,239.94,-4.091276057269454,-2.3400000000000034
2024-12-23,239.58,238.39,242.40073309198024,5.424234345294536,239.58,-4.010733091980256,-1.1900000000000261
2024-12-24,238.36,242.31,240.89101998660715,6.001525880098342,238.36,1.4189800133928543,3.9499999999999886
2024-12-26,230.37,243.14,232.55390408227223,5.685140896998348,230.37,10.58609591772776,12.769999999999982
2024-12-27,232.96,241.17,234.9555357366614,6.17304494306444,232.96,6.214464263338584,8.20999999999998
2024-12-30,237.6,239.32,239.64808068763466,6.056537408530687,237.6,-0.32808068763466736,1.7199999999999989
2024-12-31,238.39,239.71,240.5297795480862,5.779985750354825,238.39,-0.8197795480861885,1.3200000000000216
2025-01-02,242.31,240.0,243.50610326975584,7.774144472256268,242.31,-3.5061032697558403,-2.3100000000000023
2025-01-03,243.14,243.28,244.8891011564061,6.687068738490353,243.14,-1.6091011564060977,0.14000000000001478
