Date,Open,Close,High,Low,Volume
2016-07-20,,63.93,,,10410000.0
2016-07-21,,63.69,,,9950000.0
2016-07-22,,64.04,,,8199999.999999999
2016-07-25,,63.87,,,8170000.0
2016-07-26,,64.13,,,8070000.0
2016-07-27,,64.33,,,11810000.0
2016-07-28,,64.1,,,10010000.0
2016-07-29,,63.97,,,13210000.0
2016-08-01,,63.8,,,11420000.0
2016-08-02,,63.65,,,13550000.0
2016-08-03,,64.66,,,13120000.0
2016-08-04,,64.56,,,9870000.0
2016-08-05,,66.3,,,20750000.0
2016-08-08,,66.1,,,11360000.0
2016-08-09,,65.87,,,10100000.0
2016-08-10,,65.28,,,11560000.0
2016-08-11,,65.46,,,9600000.0
2016-08-12,,65.32,,,7690000.0
2016-08-15,,65.72,,,8369999.999999999
2016-08-16,,65.71,,,10130000.0
2016-08-17,,65.89,,,11870000.0
2016-08-18,,65.95,,,9310000.0
2016-08-19,,65.86,,,9080000.0
2016-08-22,,65.8,,,9060000.0
2016-08-23,,65.77,,,8950000.0
2016-08-24,,65.95,,,10170000.0
2016-08-25,,66.07,,,9980000.0
2016-08-26,,66.22,,,14040000.0
2016-08-29,,66.95,,,14580000.0
2016-08-30,,67.5,,,13790000.0
2016-08-31,,67.5,,,14950000.0
2016-09-01,,67.21,,,12230000.0
2016-09-02,,67.49,,,13720000.0
2016-09-06,,67.44,,,16649999.999999998
2016-09-07,,67.16,,,10070000.0
2016-09-08,,67.25,,,12250000.0
2016-09-09,,66.65,,,19690000.0
2016-09-12,,67.06,,,16450000.0
2016-09-13,,66.53,,,18880000.0
2016-09-14,,66.4,,,12650000.0
2016-09-15,,66.64,,,12640000.0
2016-09-16,,65.82,,,25160000.0
2016-09-19,,66.19,,,13470000.0
2016-09-20,,66.46,,,10090000.0
2016-09-21,,66.84,,,14120000.0
2016-09-22,,67.39,,,12780000.0
2016-09-23,,67.25,,,13970000.0
2016-09-26,,65.78,,,16410000.0
2016-09-27,,66.36,,,13710000.0
2016-09-28,,66.71,,,11280000.0
2016-09-29,,65.65,,,18730000.0
2016-09-30,,66.59,,,21680000.0
2016-10-03,,66.51,,,14900000.0
2016-10-04,,66.6,,,17230000.0
2016-10-05,,67.69,,,16280000.000000002
2016-10-06,,67.87,,,17480000.0
2016-10-07,,68.11,,,18500000.0
2016-10-10,,68.64,,,13030000.0
2016-10-11,,68.31,,,15660000.0
2016-10-12,,68.13,,,11900000.0
2016-10-13,,67.74,,,17890000.0
2016-10-14,,67.52,,,24160000.0
2016-10-17,,67.17,,,14960000.0
2016-10-18,,67.7,,,11870000.0
2016-10-19,,68.35,,,12710000.0
2016-10-20,,68.26,,,14120000.0
2016-10-21,,68.49,,,12180000.0
2016-10-24,,68.87,,,10200000.0
2016-10-25,,68.8,,,9950000.0
2016-10-26,,69.13,,,9800000.0
2016-10-27,,69.23,,,14210000.0
2016-10-28,,69.11,,,12770000.0
2016-10-31,,69.26,,,14340000.0
2016-11-01,,68.97,,,15560000.0
2016-11-02,,68.68,,,12450000.0
2016-11-03,,68.38,,,10370000.0
2016-11-04,,67.76,,,13570000.0
2016-11-07,,69.88,,,16520000.0
2016-11-08,,70.03,,,17530000.0
2016-11-09,,73.25,,,50950000.0
2016-11-10,,76.65,,,56190000.0
2016-11-11,,76.69,,,27570000.0
2016-11-14,,79.51,,,46130000.0
2016-11-15,,79.36,,,28130000.0
2016-11-16,,77.4,,,26050000.0
2016-11-17,,78.02,,,19310000.0
2016-11-18,,77.71,,,19770000.0
2016-11-21,,78.05,,,11980000.0
2016-11-22,,78.53,,,14410000.0
2016-11-23,,78.86,,,13400000.0
2016-11-25,,78.83,,,6190000.0
2016-11-28,,78.32,,,13010000.0
2016-11-29,,78.92,,,14140000.0
2016-11-30,,80.17,,,25350000.0
2016-12-01,,81.79,,,23820000.0
2016-12-02,,81.6,,,16930000.0
2016-12-05,,83.26,,,18530000.0
2016-12-06,,83.69,,,16129999.999999998
2016-12-07,,84.07,,,19000000.0
2016-12-08,,85.12,,,20840000.0
2016-12-09,,85.49,,,14570000.0
2016-12-12,,84.73,,,14510000.0
2016-12-13,,84.76,,,16670000.000000002
2016-12-14,,84.73,,,22620000.0
2016-12-15,,86.0,,,19440000.0
2016-12-16,,84.94,,,23010000.0
2016-12-19,,85.43,,,21690000.0
2016-12-20,,86.53,,,14590000.0
2016-12-21,,86.75,,,11400000.0
2016-12-22,,86.89,,,13920000.0
2016-12-23,,87.05,,,10760000.0
2016-12-27,,87.13,,,6950000.0
2016-12-28,,86.5,,,9460000.0
2016-12-29,,85.89,,,14690000.0
2016-12-30,,86.29,,,13620000.0
2017-01-03,,87.23,,,20550000.0
2017-01-04,,86.91,,,15270000.0
2017-01-05,,86.11,,,14300000.0
2017-01-06,,86.12,,,12890000.0
2017-01-09,,86.18,,,12810000.0
2017-01-10,,86.43,,,13990000.0
2017-01-11,,87.08,,,14710000.0
2017-01-12,,86.24,,,21340000.0
2017-01-13,,86.7,,,28300000.0
2017-01-17,,83.55,,,30020000.0
2017-01-18,,83.94,,,21270000.0
2017-01-19,,83.3,,,16559999.999999998
2017-01-20,,83.67,,,18440000.0
2017-01-23,,83.71,,,12180000.0
2017-01-24,,84.72,,,15180000.0
2017-01-25,,86.03,,,17550000.0
2017-01-26,,86.75,,,15960000.0
2017-01-27,,86.93,,,12540000.0
2017-01-30,,86.03,,,13660000.0
2017-01-31,,84.63,,,15660000.0
2017-02-01,,84.95,,,15430000.0
2017-02-02,,84.59,,,11080000.0
2017-02-03,,87.18,,,17890000.0
2017-02-06,,86.77,,,11830000.0
2017-02-07,,86.72,,,9390000.0
2017-02-08,,85.96,,,13970000.0
2017-02-09,,87.2,,,13750000.0
2017-02-10,,87.0,,,10990000.0
2017-02-13,,88.15,,,18740000.0
2017-02-14,,89.56,,,17930000.0
2017-02-15,,90.59,,,17380000.0
2017-02-16,,90.53,,,17670000.0
2017-02-17,,90.23,,,15780000.0
2017-02-21,,91.01,,,14070000.0
2017-02-22,,91.06,,,11840000.0
2017-02-23,,91.13,,,11070000.0
2017-02-24,,90.33,,,15060000.0
2017-02-27,,90.43,,,12360000.0
2017-02-28,,90.62,,,15180000.0
2017-03-01,,93.6,,,24450000.0
2017-03-02,,92.14,,,16860000.0
2017-03-03,,92.8,,,12860000.0
2017-03-06,,91.92,,,15060000.0
2017-03-07,,91.41,,,11160000.0
2017-03-08,,91.21,,,17380000.0
2017-03-09,,91.57,,,13730000.0
2017-03-10,,91.28,,,13730000.0
2017-03-13,,91.36,,,10000000.0
2017-03-14,,91.51,,,10240000.0
2017-03-15,,91.73,,,16600000.000000002
2017-03-16,,91.64,,,14490000.0
2017-03-17,,90.68,,,21730000.0
2017-03-20,,90.03,,,14620000.0
2017-03-21,,87.39,,,33090000.000000004
2017-03-22,,87.53,,,21740000.0
2017-03-23,,87.39,,,16090000.0
2017-03-24,,87.29,,,16090000.0
2017-03-27,,87.24,,,16690000.000000002
2017-03-28,,88.6,,,16260000.000000002
2017-03-29,,88.27,,,10210000.0
2017-03-30,,89.03,,,11630000.0
2017-03-31,,87.84,,,16990000.0
2017-04-03,,87.52,,,19830000.0
2017-04-04,,87.31,,,14280000.0
2017-04-05,,86.19,,,17640000.0
2017-04-06,,86.48,,,14380000.0
2017-04-07,,86.18,,,13100000.0
2017-04-10,,85.88,,,15080000.0
2017-04-11,,85.73,,,14690000.0
2017-04-12,,85.4,,,14730000.0
2017-04-13,,84.4,,,30530000.0
2017-04-17,,85.86,,,19070000.0
2017-04-18,,85.16,,,14130000.0
2017-04-19,,84.46,,,17590000.0
2017-04-20,,85.55,,,15640000.0
2017-04-21,,84.52,,,19820000.0
